CustomerID,Lookalikes
C0135,"[('C0127', 0.999431207184247), ('C0164', 0.9987080392937299), ('C0001', 0.9980095598676861)]"
C0137,"[('C0184', 0.9931270186467541), ('C0135', 0.9895203070548857), ('C0152', 0.9887644101255285)]"
C0139,"[('C0011', 0.999521575865666), ('C0037', 0.9950496038907239), ('C0067', 0.9812124266862512)]"
C0147,"[('C0160', 0.9997948841417882), ('C0190', 0.9993904221833269), ('C0111', 0.997285666758604)]"
C0152,"[('C0184', 0.9994642845665399), ('C0185', 0.998392282543618), ('C0118', 0.9981353635190849)]"
C0154,"[('C0026', 0.9998736275756283), ('C0016', 0.9997996887384316), ('C0040', 0.9941553864809896)]"
C0158,"[('C0066', 0.9975534250365904), ('C0026', 0.9771786003403188), ('C0154', 0.9736781860639668)]"
C0160,"[('C0147', 0.9997948841417882), ('C0111', 0.998572335555359), ('C0190', 0.998478372242325)]"
C0161,"[('C0134', 0.9999926318889454), ('C0098', 0.999660477616644), ('C0049', 0.9983989395301716)]"
C0164,"[('C0001', 0.9999247622065323), ('C0127', 0.999853660895477), ('C0135', 0.9987080392937299)]"
C0174,"[('C0055', 0.9998239408756523), ('C0027', 0.9922852293236635), ('C0176', 0.9856000241900289)]"
C0176,"[('C0027', 0.998959857671982), ('C0055', 0.9885993676678867), ('C0174', 0.9856000241900289)]"
C0179,"[('C0024', 0.9985749009905988), ('C0081', 0.9698408734700361), ('C0194', 0.9422267886395084)]"
C0181,"[('C0034', 0.9904996947908862), ('C0081', 0.9287181367605106), ('C0098', 0.8806130132879364)]"
C0183,"[('C0048', 0.9999997363059528), ('C0187', 0.9979652652575803), ('C0117', 0.9912851886109092)]"
C0184,"[('C0152', 0.9994642845665399), ('C0185', 0.9960023206375689), ('C0118', 0.9956029323890546)]"
C0185,"[('C0118', 0.9999904740062316), ('C0152', 0.998392282543618), ('C0184', 0.9960023206375689)]"
C0187,"[('C0048', 0.9980113055125851), ('C0183', 0.9979652652575803), ('C0117', 0.9976674959003154)]"
C0189,"[('C0070', 0.9999884751294267), ('C0116', 0.9974506669040591), ('C0056', 0.9954073295115202)]"
C0190,"[('C0147', 0.9993904221833269), ('C0160', 0.998478372242325), ('C0111', 0.9941072586447304)]"
C0191,"[('C0193', 0.9999206669283175), ('C0133', 0.9937460155578006), ('C0069', 0.9936328711447311)]"
C0193,"[('C0191', 0.9999206669283175), ('C0069', 0.9949731919878866), ('C0133', 0.9922606556489159)]"
C0194,"[('C0067', 0.9795052856694462), ('C0037', 0.956098710825563), ('C0179', 0.9422267886395084)]"
C0002,"[('C0157', 0.9999942123711493), ('C0094', 0.9998276141994118), ('C0029', 0.999824813313627)]"
C0005,"[('C0167', 0.9999735069046766), ('C0177', 0.999928691454309), ('C0131', 0.999531210280826)]"
C0007,"[('C0146', 0.9999892184641412), ('C0061', 0.9996884488742618), ('C0103', 0.999560131068284)]"
C0010,"[('C0019', 0.9662961554106448), ('C0142', 0.9623352874137325), ('C0076', 0.9539357994865122)]"
C0019,"[('C0142', 0.9998880084422653), ('C0076', 0.9990171747589464), ('C0166', 0.9975591003104471)]"
C0025,"[('C0199', 0.9999969325867761), ('C0062', 0.9999148404386382), ('C0197', 0.9998267867677778)]"
C0029,"[('C0166', 0.9999999937486929), ('C0094', 0.9999999887134763), ('C0002', 0.999824813313627)]"
C0031,"[('C0121', 0.9999703821596113), ('C0073', 0.9998613438702291), ('C0157', 0.9993718457901843)]"
C0035,"[('C0112', 0.9999887258668012), ('C0036', 0.9997631247477651), ('C0132', 0.9995465026591633)]"
C0036,"[('C0132', 0.9999651285099355), ('C0035', 0.9997631247477651), ('C0112', 0.999648504713825)]"
C0042,"[('C0089', 0.9999990610817238), ('C0085', 0.9998326426864933), ('C0103', 0.9990463323948192)]"
C0044,"[('C0115', 0.9958156087479291), ('C0050', 0.9905350628060875), ('C0074', 0.9892501681516984)]"
C0050,"[('C0074', 0.9999589161163237), ('C0115', 0.9989338169964677), ('C0044', 0.9905350628060875)]"
C0052,"[('C0071', 0.999995587683511), ('C0132', 0.9997111284155933), ('C0036', 0.9994755507612314)]"
C0061,"[('C0178', 0.9999349129999345), ('C0140', 0.9998679174323674), ('C0146', 0.999793575111109)]"
C0062,"[('C0025', 0.9999148404386382), ('C0199', 0.9998794494229184), ('C0197', 0.9994987522098892)]"
C0071,"[('C0052', 0.999995587683511), ('C0132', 0.9996353197281703), ('C0062', 0.9994247432528406)]"
C0073,"[('C0121', 0.9999598917470083), ('C0031', 0.9998613438702291), ('C0088', 0.9997060334872306)]"
C0074,"[('C0050', 0.9999589161163237), ('C0115', 0.9984743097690976), ('C0044', 0.9892501681516984)]"
C0076,"[('C0166', 0.9996737491961946), ('C0029', 0.9996708869628601), ('C0094', 0.9996670213677442)]"
C0085,"[('C0042', 0.9998326426864933), ('C0089', 0.9998066342929072), ('C0103', 0.9980803511215335)]"
C0088,"[('C0172', 0.9997300167950743), ('C0073', 0.9997060334872306), ('C0144', 0.9995456248457195)]"
C0089,"[('C0042', 0.9999990610817238), ('C0085', 0.9998066342929072), ('C0103', 0.999105227090742)]"
C0094,"[('C0029', 0.9999999887134763), ('C0166', 0.999999965662702), ('C0002', 0.9998276141994118)]"
C0103,"[('C0007', 0.999560131068284), ('C0146', 0.9994116387119395), ('C0089', 0.999105227090742)]"
C0112,"[('C0035', 0.9999887258668012), ('C0036', 0.999648504713825), ('C0129', 0.9996321007968423)]"
C0115,"[('C0050', 0.9989338169964677), ('C0074', 0.9984743097690976), ('C0044', 0.9958156087479291)]"
C0120,"[('C0131', 0.9999982620419519), ('C0177', 0.9997889961816543), ('C0005', 0.9994723926614336)]"
C0121,"[('C0031', 0.9999703821596113), ('C0073', 0.9999598917470083), ('C0088', 0.9994487871792371)]"
C0129,"[('C0186', 0.9999736933052858), ('C0159', 0.9999251740983194), ('C0192', 0.9999237912831694)]"
C0131,"[('C0120', 0.9999982620419519), ('C0177', 0.9998255562025948), ('C0005', 0.999531210280826)]"
C0132,"[('C0036', 0.9999651285099355), ('C0052', 0.9997111284155933), ('C0071', 0.9996353197281703)]"
C0140,"[('C0178', 0.9999882683751354), ('C0061', 0.9998679174323674), ('C0146', 0.9993313046374884)]"
C0142,"[('C0019', 0.9998880084422653), ('C0076', 0.9995686419876988), ('C0166', 0.9984923916780147)]"
C0144,"[('C0172', 0.999976133458), ('C0088', 0.9995456248457195), ('C0197', 0.9988356513980937)]"
C0146,"[('C0007', 0.9999892184641412), ('C0061', 0.999793575111109), ('C0178', 0.9994966934117983)]"
C0157,"[('C0002', 0.9999942123711493), ('C0094', 0.9997586574439695), ('C0029', 0.999755345499764)]"
C0159,"[('C0192', 0.9999999936693651), ('C0186', 0.9999876009361377), ('C0129', 0.9999251740983194)]"
C0166,"[('C0029', 0.9999999937486929), ('C0094', 0.999999965662702), ('C0002', 0.9998227141708376)]"
C0167,"[('C0005', 0.9999735069046766), ('C0177', 0.9998152728827067), ('C0131', 0.9992818698723971)]"
C0172,"[('C0144', 0.999976133458), ('C0088', 0.9997300167950743), ('C0073', 0.9988727695730267)]"
C0177,"[('C0005', 0.999928691454309), ('C0131', 0.9998255562025948), ('C0167', 0.9998152728827067)]"
C0178,"[('C0140', 0.9999882683751354), ('C0061', 0.9999349129999345), ('C0146', 0.9994966934117983)]"
C0186,"[('C0159', 0.9999876009361377), ('C0192', 0.9999870342719025), ('C0129', 0.9999736933052858)]"
C0192,"[('C0159', 0.9999999936693651), ('C0186', 0.9999870342719025), ('C0129', 0.9999237912831694)]"
C0197,"[('C0199', 0.9998698184641015), ('C0025', 0.9998267867677778), ('C0062', 0.9994987522098892)]"
C0199,"[('C0025', 0.9999969325867761), ('C0062', 0.9998794494229184), ('C0197', 0.9998698184641015)]"
C0004,"[('C0165', 0.9999644203456909), ('C0175', 0.9985900927155297), ('C0075', 0.9974876899921521)]"
C0028,"[('C0065', 0.9999831109208335), ('C0143', 0.9997272786020648), ('C0102', 0.9992022555827373)]"
C0041,"[('C0068', 0.9999212815708688), ('C0156', 0.9997718462926148), ('C0045', 0.9997119776833326)]"
C0045,"[('C0041', 0.9997119776833326), ('C0068', 0.9993321606426203), ('C0156', 0.9989712635073514)]"
C0054,"[('C0082', 0.9999747337867778), ('C0099', 0.9998794186539177), ('C0059', 0.9994323219440505)]"
C0059,"[('C0188', 0.9999882210748234), ('C0054', 0.9994323219440505), ('C0082', 0.9991675804287604)]"
C0065,"[('C0028', 0.9999831109208335), ('C0143', 0.9995746687250914), ('C0156', 0.9993083606242404)]"
C0068,"[('C0156', 0.9999611543742175), ('C0041', 0.9999212815708688), ('C0045', 0.9993321606426203)]"
C0075,"[('C0004', 0.9974876899921521), ('C0165', 0.9968546271374638), ('C0175', 0.992320909521173)]"
C0082,"[('C0054', 0.9999747337867778), ('C0099', 0.9999645441068696), ('C0104', 0.9995765719770185)]"
C0087,"[('C0102', 0.9997095111948301), ('C0143', 0.9991720711466182), ('C0104', 0.9986538442644104)]"
C0099,"[('C0082', 0.9999645441068696), ('C0054', 0.9998794186539177), ('C0104', 0.9997861582314961)]"
C0102,"[('C0143', 0.9998623728663661), ('C0087', 0.9997095111948301), ('C0028', 0.9992022555827373)]"
C0104,"[('C0099', 0.9997861582314961), ('C0082', 0.9995765719770185), ('C0054', 0.999344473308296)]"
C0109,"[('C0075', 0.9896558717279788), ('C0004', 0.9770067207421613), ('C0165', 0.9751734339833481)]"
C0141,"[('C0188', 0.998110169794399), ('C0059', 0.9978001581804501), ('C0054', 0.9950002793296675)]"
C0143,"[('C0102', 0.9998623728663661), ('C0028', 0.9997272786020648), ('C0065', 0.9995746687250914)]"
C0156,"[('C0068', 0.9999611543742175), ('C0041', 0.9997718462926148), ('C0065', 0.9993083606242404)]"
C0165,"[('C0004', 0.9999644203456909), ('C0175', 0.9990023478105219), ('C0075', 0.9968546271374638)]"
C0175,"[('C0165', 0.9990023478105219), ('C0004', 0.9985900927155297), ('C0045', 0.9960510907993195)]"
C0188,"[('C0059', 0.9999882210748234), ('C0054', 0.9992570296755798), ('C0082', 0.9989578126299833)]"
C0008,"[('C0136', 0.9995380903473349), ('C0124', 0.998847235575458), ('C0084', 0.997798255415484)]"
C0012,"[('C0101', 0.9999591900113064), ('C0093', 0.9998457514670662), ('C0153', 0.9995220494170428)]"
C0013,"[('C0138', 0.9998236512810545), ('C0021', 0.9997451302998824), ('C0155', 0.9994719732084234)]"
C0017,"[('C0039', 0.9997595619964608), ('C0169', 0.9997312541959458), ('C0113', 0.999601426102761)]"
C0018,"[('C0012', 0.9982733745473213), ('C0101', 0.9977019701692318), ('C0093', 0.9970877354344382)]"
C0021,"[('C0155', 0.9999507920494966), ('C0114', 0.9998267583398427), ('C0013', 0.9997451302998824)]"
C0022,"[('C0138', 0.9998560611364155), ('C0013', 0.9993611197263303), ('C0021', 0.9982995461641379)]"
C0023,"[('C0100', 0.9997663303389601), ('C0096', 0.990963847388607), ('C0171', 0.9871069966470082)]"
C0039,"[('C0169', 0.999999212412458), ('C0113', 0.9999801209107751), ('C0017', 0.9997595619964608)]"
C0046,"[('C0053', 0.999959995207616), ('C0182', 0.9999026444204486), ('C0057', 0.999680054612364)]"
C0051,"[('C0170', 0.9997597426022673), ('C0171', 0.9996276244648546), ('C0096', 0.9985687074389633)]"
C0053,"[('C0182', 0.9999874541354946), ('C0046', 0.999959995207616), ('C0163', 0.9997290993319462)]"
C0057,"[('C0173', 0.9999661581574564), ('C0145', 0.9998709713450354), ('C0046', 0.999680054612364)]"
C0084,"[('C0195', 0.999999436978182), ('C0124', 0.9998316354738931), ('C0113', 0.9995653125680695)]"
C0090,"[('C0162', 0.9985819481733618), ('C0018', 0.9958832925996145), ('C0017', 0.992298340840763)]"
C0091,"[('C0136', 0.8900787604897306), ('C0008', 0.8758152533682932), ('C0124', 0.8516376073933465)]"
C0093,"[('C0101', 0.999963620605961), ('C0153', 0.9999108290205885), ('C0012', 0.9998457514670662)]"
C0096,"[('C0171', 0.9996563137457626), ('C0051', 0.9985687074389633), ('C0170', 0.9971564607751908)]"
C0100,"[('C0023', 0.9997663303389601), ('C0096', 0.9936317300688701), ('C0171', 0.9903363585359076)]"
C0101,"[('C0093', 0.999963620605961), ('C0012', 0.9999591900113064), ('C0153', 0.9997605444413895)]"
C0105,"[('C0149', 0.9999941975013475), ('C0108', 0.9999004276497094), ('C0200', 0.999846498885535)]"
C0108,"[('C0149', 0.9999426980904204), ('C0105', 0.9999004276497094), ('C0114', 0.9998374702610833)]"
C0113,"[('C0169', 0.999987246962897), ('C0039', 0.9999801209107751), ('C0017', 0.999601426102761)]"
C0114,"[('C0155', 0.9999622090577711), ('C0108', 0.9998374702610833), ('C0021', 0.9998267583398427)]"
C0122,"[('C0148', 0.9999975008955125), ('C0163', 0.9999475883876112), ('C0200', 0.9997237219508097)]"
C0124,"[('C0084', 0.9998316354738931), ('C0195', 0.9998116010399923), ('C0113', 0.9988560447871717)]"
C0136,"[('C0008', 0.9995380903473349), ('C0124', 0.9969270325657106), ('C0084', 0.9953217706908644)]"
C0138,"[('C0022', 0.9998560611364155), ('C0013', 0.9998236512810545), ('C0021', 0.9991448630621399)]"
C0145,"[('C0173', 0.9999692885032901), ('C0057', 0.9998709713450354), ('C0153', 0.9996096555955475)]"
C0148,"[('C0122', 0.9999975008955125), ('C0163', 0.9999222002464005), ('C0200', 0.9997737726175278)]"
C0149,"[('C0105', 0.9999941975013475), ('C0108', 0.9999426980904204), ('C0200', 0.9997810107945146)]"
C0153,"[('C0093', 0.9999108290205885), ('C0101', 0.9997605444413895), ('C0145', 0.9996096555955475)]"
C0155,"[('C0114', 0.9999622090577711), ('C0021', 0.9999507920494966), ('C0108', 0.9996429495457438)]"
C0162,"[('C0090', 0.9985819481733618), ('C0017', 0.9974856267530927), ('C0039', 0.9956918071187465)]"
C0163,"[('C0122', 0.9999475883876112), ('C0148', 0.9999222002464005), ('C0182', 0.999833145054312)]"
C0168,"[('C0196', 0.999983285814364), ('C0023', 0.9389023539214998), ('C0100', 0.9312428227982703)]"
C0169,"[('C0039', 0.999999212412458), ('C0113', 0.999987246962897), ('C0017', 0.9997312541959458)]"
C0170,"[('C0051', 0.9997597426022673), ('C0171', 0.9987893308802385), ('C0096', 0.9971564607751908)]"
C0171,"[('C0096', 0.9996563137457626), ('C0051', 0.9996276244648546), ('C0170', 0.9987893308802385)]"
C0173,"[('C0145', 0.9999692885032901), ('C0057', 0.9999661581574564), ('C0046', 0.999438131058935)]"
C0182,"[('C0053', 0.9999874541354946), ('C0046', 0.9999026444204486), ('C0163', 0.999833145054312)]"
C0195,"[('C0084', 0.999999436978182), ('C0124', 0.9998116010399923), ('C0113', 0.9995960346273749)]"
C0196,"[('C0168', 0.999983285814364), ('C0023', 0.9368966933492698), ('C0100', 0.9291204095893267)]"
C0200,"[('C0105', 0.999846498885535), ('C0149', 0.9997810107945146), ('C0148', 0.9997737726175278)]"
C0009,"[('C0015', 0.999999832307083), ('C0058', 0.9999903602579002), ('C0020', 0.9999872012587909)]"
C0014,"[('C0110', 0.9999724070415112), ('C0097', 0.9998620844600853), ('C0095', 0.999808800914905)]"
C0015,"[('C0009', 0.999999832307083), ('C0130', 0.9999877891158914), ('C0058', 0.9999876497268129)]"
C0020,"[('C0058', 0.9999997765161889), ('C0198', 0.9999982875594068), ('C0009', 0.9999872012587909)]"
C0032,"[('C0151', 0.9999090839872589), ('C0043', 0.9997964521951531), ('C0119', 0.9994482468301185)]"
C0033,"[('C0060', 0.9999717860044479), ('C0083', 0.9997982236693712), ('C0014', 0.999583940665565)]"
C0043,"[('C0119', 0.9999149329237992), ('C0032', 0.9997964521951531), ('C0151', 0.999433502999939)]"
C0058,"[('C0020', 0.9999997765161889), ('C0198', 0.9999968268171054), ('C0009', 0.9999903602579002)]"
C0060,"[('C0033', 0.9999717860044479), ('C0083', 0.9999209095262666), ('C0119', 0.9994031956658813)]"
C0063,"[('C0150', 0.9999982070986027), ('C0180', 0.9999904126228862), ('C0130', 0.9999846036218907)]"
C0077,"[('C0151', 0.9949247851031717), ('C0032', 0.9934775306240426), ('C0043', 0.9909747279892943)]"
C0078,"[('C0123', 0.9999132533545081), ('C0080', 0.998958707088449), ('C0198', 0.9981565759104633)]"
C0080,"[('C0198', 0.99988615663278), ('C0020', 0.999856520294349), ('C0058', 0.999844971987198)]"
C0083,"[('C0060', 0.9999209095262666), ('C0033', 0.9997982236693712), ('C0119', 0.9997585972644416)]"
C0095,"[('C0097', 0.9999956577124854), ('C0128', 0.9999529647019039), ('C0110', 0.9999264739808781)]"
C0097,"[('C0095', 0.9999956577124854), ('C0110', 0.9999578676354398), ('C0128', 0.9999200404185054)]"
C0110,"[('C0014', 0.9999724070415112), ('C0097', 0.9999578676354398), ('C0095', 0.9999264739808781)]"
C0119,"[('C0043', 0.9999149329237992), ('C0083', 0.9997585972644416), ('C0032', 0.9994482468301185)]"
C0123,"[('C0078', 0.9999132533545081), ('C0080', 0.9994729757983509), ('C0198', 0.9988693802809869)]"
C0128,"[('C0180', 0.9999678469326571), ('C0095', 0.9999529647019039), ('C0063', 0.99992314535692)]"
C0130,"[('C0150', 0.9999933186404797), ('C0015', 0.9999877891158914), ('C0009', 0.9999847594913384)]"
C0150,"[('C0063', 0.9999982070986027), ('C0130', 0.9999933186404797), ('C0180', 0.9999803277849841)]"
C0151,"[('C0032', 0.9999090839872589), ('C0043', 0.999433502999939), ('C0119', 0.998909510107751)]"
C0180,"[('C0063', 0.9999904126228862), ('C0150', 0.9999803277849841), ('C0128', 0.9999678469326571)]"
C0198,"[('C0020', 0.9999982875594068), ('C0058', 0.9999968268171054), ('C0009', 0.9999761257370038)]"
